序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
471,BV1Mg41157ps,【主义主义】解释学（3-4-4）——将永恒轮回压入瞬间的伟大存在论探索，哲学符号学的顶峰,2021-09-14,81520,34:43,人文历史,,https://www.bilibili.com/video/BV1Mg41157ps
472,BV1gL411x7gm,【主义主义】现象学的解释学（3-4-4-1）——迟来的现象学，修辞、隐喻、象征的哲学正名,2021-09-15,44010,31:11,人文历史,,https://www.bilibili.com/video/BV1gL411x7gm
473,BV18Q4y1k7hi,【主义主义】经典的精神分析（3-4-4-2）——弗洛伊德引导的第一次精神分析运动,2021-09-16,96607,35:35,人文历史,,https://www.bilibili.com/video/BV18Q4y1k7hi
474,BV1Ab4y1m7pv,【主义主义】哲学的最高奥义：语言游戏（3-4-4-3）——另外，如何正确理解晚期维特根斯坦的“沉默”,2021-09-17,133663,37:02,人文历史,,https://www.bilibili.com/video/BV1Ab4y1m7pv
475,BV1QA411F7ut,【主义主义】针对资本主义的精神分析（3-4-4-4）——无意识何以生产出主客体？理论家为编织体系，走向注定失败的大学话语,2021-09-18,73990,44:24,人文历史,,https://www.bilibili.com/video/BV1QA411F7ut
476,BV15v411A7nX,【主义主义复习课】本世纪人文知识分子必须掌握的反思工具：符号学（3-4）,2021-09-19,66586,64:26,人文历史,,https://www.bilibili.com/video/BV15v411A7nX
477,BV1XL411x72W,【主义主义】形而下学（1）——天真的前反思状态是怎样的，如何克服？以及场域论上1、2、3、4的核心差别,2021-09-20,228527,29:37,人文历史,,https://www.bilibili.com/video/BV1XL411x72W
478,BV1vR4y1H78h,【主义主义】科学实在论（1-1）——俘获科学体系的底层知识生产者的意识形态,2021-09-21,200064,26:53,人文历史,,https://www.bilibili.com/video/BV1vR4y1H78h
480,BV1Yf4y1w775,【主义主义】物理主义（1-1-1）——学术精英主义投机分子纽拉特炮制的意识形态,2021-09-22,91750,49:27,校园学习,,https://www.bilibili.com/video/BV1Yf4y1w775
482,BV1nL41147E6,【主义主义】科学独断论（1-1-1-1）——最劣化版本的“知识就是力量”和“永恒轮回”,2021-09-23,171343,26:04,人文历史,,https://www.bilibili.com/video/BV1nL41147E6
483,BV16R4y1p7fM,【主义主义】有机进化论（1-1-1-2）——理工科知识分子的理论恋活癖背后的意识形态,2021-09-24,55377,38:45,人文历史,,https://www.bilibili.com/video/BV16R4y1p7fM
485,BV1yL4y187Up,【主义主义】科学消费主义（1-1-1-3）——幸福可以被量化的科学享乐指南、吃鱼子酱配苏打饼干背后的意识形态,2021-09-25,64133,32:20,人文历史,,https://www.bilibili.com/video/BV1yL4y187Up
486,BV14h411n7MZ,【主义主义】宇宙悲观主义（1-1-1-4）——科幻小说家的虚无主义自恋范本和假冒伪劣宏大叙事,2021-09-26,151794,54:45,人文历史,,https://www.bilibili.com/video/BV14h411n7MZ
487,BV1ef4y1w7Dn,【主义主义】建构论（1-1-2）——社会学/心理学中渗透的意识形态，与物理主义的虚假对立,2021-09-27,59281,27:11,人文历史,,https://www.bilibili.com/video/BV1ef4y1w7Dn
489,BV1CL4y187Xy,【主义主义】科学知识社会学（1-1-2-1）——社会学家面对自然科学共同体的一次强有力的挑衅,2021-09-28,44095,32:31,人文历史,,https://www.bilibili.com/video/BV1CL4y187Xy
490,BV1dP4y1b7gb,【主义主义】科学革命论（1-1-2-2）——库恩预设的科学史元话语的理想化意识形态,2021-09-29,33297,26:32,人文历史,,https://www.bilibili.com/video/BV1dP4y1b7gb
491,BV1uq4y1Z76Q,【主义主义】文化本体论（1-1-2-3）——“文化”“素质”“灯塔”背后的意识形态,2021-09-30,44350,27:51,人文历史,,https://www.bilibili.com/video/BV1uq4y1Z76Q
492,BV1z3411y7ts,【主义主义】解构建构论（1-1-2-4）——解构主义的最劣版本之美国心理学版本,2021-09-30,39345,24:02,人文历史,,https://www.bilibili.com/video/BV1z3411y7ts
493,BV1A341117V6,【主义主义】认知主义（1-1-3）——人类追求人工智能、建构心灵模型的一整个错误的科学实在论路径,2021-10-01,47248,21:17,人文历史,,https://www.bilibili.com/video/BV1A341117V6
494,BV1FL411s7DF,【主义主义】功能主义 （ 1-1-3-1） 人工智能的基本意识形态，缸中之脑的缸到底是什么？ 从心灵就是图灵机，到一切都是图灵机,2021-10-02,39557,33:03,人文历史,,https://www.bilibili.com/video/BV1FL411s7DF
495,BV15Q4y167bL,【主义主义】自由进化论（1-1-3-2）——妄图用元胞机模拟意识的突变诞生，丹尼尔·丹尼特的蛇皮意识发生学,2021-10-03,38624,33:13,人文历史,,https://www.bilibili.com/video/BV15Q4y167bL
496,BV1tb4y1a7YS,【主义主义】认知自我主义（1-1-3-3）——达马西奥的自我意识发生学,2021-10-04,30466,59:42,人文历史,,https://www.bilibili.com/video/BV1tb4y1a7YS
497,BV1Aq4y1d7oe,【主义主义】认知无我论（1-1-3-4）——新世纪AI程序员的无我论意识形态，梅青格向庸俗实在论的高雅投诚,2021-10-05,34471,40:34,人文历史,,https://www.bilibili.com/video/BV1Aq4y1d7oe
498,BV1Tq4y1N7vv,【主义主义】行为主义（1-1-4）——心理学的黑历史，最践踏人类尊严的科学主义意识形态,2021-10-07,80490,37:33,人文历史,,https://www.bilibili.com/video/BV1Tq4y1N7vv
499,BV1SP4y187t5,【主义主义】操作行为主义（1-1-4-1）——所谓的“新”行为主义心理学对内在领域的邪恶进军,2021-10-08,27391,25:11,人文历史,,https://www.bilibili.com/video/BV1SP4y187t5
500,BV1Jf4y1c7xF,【主义主义】目的行为主义（1-1-4-2）——“现实太复杂，生活很简单”婚恋平台的运作机制，吃瓜群众的意识形态,2021-10-09,37862,40:04,人文历史,,https://www.bilibili.com/video/BV1Jf4y1c7xF
501,BV12v411g7fA,【主义主义】应用行为分析（1-1-4-3）——小男小女买买奶茶发发表情积累好感的恋爱方式背后的意识形态,2021-10-10,126191,26:47,人文历史,,https://www.bilibili.com/video/BV12v411g7fA
502,BV1cT4y1o7xS,【主义主义】社会行为主义（1-1-4-4）——喜欢“玩梗”背后的意识形态，米德的符号互动论,2021-10-11,64342,22:01,人文历史,,https://www.bilibili.com/video/BV1cT4y1o7xS
503,BV1qh411J7kp,【主义主义】实践（4）——历史的辩证法及物质性的实践,2021-10-12,160412,44:42,人文历史,,https://www.bilibili.com/video/BV1qh411J7kp
504,BV1Nb4y1h7mw,【主义主义】政治-经济-意识形态批判（4-1）——理论家的实践与两种谢林点,2021-10-13,62258,54:31,人文历史,,https://www.bilibili.com/video/BV1Nb4y1h7mw
505,BV1q3411C7dJ,【主义主义】资本主义史研究（4-1-1）——作为理论性实践发端的史学研究,2021-10-14,36732,38:07,人文历史,,https://www.bilibili.com/video/BV1q3411C7dJ
507,BV1fb4y187Sr,【主义主义复习课】从布尔乔亚的科学主义意识形态（1-1）走向普罗大众的历史、解放的科学精神（4-1）,2021-10-15,46040,16:09,人文历史,,https://www.bilibili.com/video/BV1fb4y187Sr
508,BV1544y1x7i5,【主义主义】经济学哲学批判（4-1-1-1）——从客体间性和意识发生学机制，走向真正的人类历史，理论家的第一种实践,2021-10-16,61468,63:46,人文历史,,https://www.bilibili.com/video/BV1544y1x7i5
509,BV1hq4y197tW,【主义主义】内外评论（4-1-1-2）——从神经网络演化出大脑,2021-10-17,39099,29:05,人文历史,,https://www.bilibili.com/video/BV1hq4y197tW
510,BV1jh411n7i8,【主义主义】国际性的理论协调（4-1-1-3）——第二提琴手的伟大遗策，应运而生的深谋远虑,2021-10-18,39971,45:30,人文历史,,https://www.bilibili.com/video/BV1jh411n7i8
511,BV19F411Y7Ly,【主义主义】中派中的独立生存（4-1-1-4）——这个点位KK不配，配的是那些伟大的坚守与牺牲者,2021-10-19,34968,37:04,人文历史,,https://www.bilibili.com/video/BV19F411Y7Ly
512,BV1UL411G7Sd,【主义主义】灌输（4-1-2）——凶险的创业阶段理论家必不可少的工作,2021-10-20,52836,45:54,人文历史,,https://www.bilibili.com/video/BV1UL411G7Sd
513,BV1Dh411b7eN,【主义主义】学习/研究（4-1-2-1）——通过实践从理论和现实的短路中生成新的本质,2021-10-20,41095,43:07,人文历史,,https://www.bilibili.com/video/BV1Dh411b7eN
514,BV15Q4y1Q7S8,【主义主义】写作与交谈（4-1-2-2）——话语即是力量,2021-10-22,50709,33:21,人文历史,,https://www.bilibili.com/video/BV15Q4y1Q7S8
515,BV1rQ4y1D7WJ,【主义主义】正派青年的交友和团结（4-1-2-3）,2021-10-23,59958,34:57,日常,,https://www.bilibili.com/video/BV1rQ4y1D7WJ
516,BV1Kb4y1a7GE,【主义主义】现实的本体论化（4-1-2-4）——这是一件海德格尔所不能理解的事情,2021-10-24,44196,39:57,校园学习,,https://www.bilibili.com/video/BV1Kb4y1a7GE
517,BV1U3411r7uY,【主义主义】历史的哲学化（4-1-3）——理论指导下的实践要维持其现实性所唯一能依靠的进一步理论工作,2021-10-25,30305,49:19,校园学习,,https://www.bilibili.com/video/BV1U3411r7uY
518,BV17q4y1R7Qz,【主义主义】方法论上的总体化（4-1-3-1）——卢卡奇的挑衅实际上是拧绳,2021-10-26,39358,37:07,校园学习,,https://www.bilibili.com/video/BV17q4y1R7Qz
519,BV13R4y1n7pu,【主义主义】教条的哲学化（4-1-3-2）——柯尔施和S的教科书是一个硬币的两面,2021-10-27,28701,28:11,校园学习,,https://www.bilibili.com/video/BV13R4y1n7pu
520,BV19T4y1R7xn,【主义主义】体系化的理论探索（4-1-3-3）——总要有人探索野路子,2021-10-28,26771,25:58,校园学习,,https://www.bilibili.com/video/BV19T4y1R7xn
521,BV1NQ4y1q7W7,【主义主义】争夺文化霸权（4-1-3-4）——台面上的暗战,2021-10-29,52784,35:35,校园学习,,https://www.bilibili.com/video/BV1NQ4y1q7W7
522,BV1qb4y1h7it,【主义主义】精神化了的重复（4-1-4）——失败是成功之母,2021-10-30,34596,27:42,校园学习,,https://www.bilibili.com/video/BV1qb4y1h7it
523,BV1RS4y1R7kh,【主义主义】对意识形态的历史化（4-1-4-1）——劣势下以攻代守的卓绝努力,2021-10-31,40260,27:15,校园学习,,https://www.bilibili.com/video/BV1RS4y1R7kh
524,BV1P3411C7gu,【主义主义】哲学的再现代化（4-1-4-2）——反对后现代犬儒主义政治，在思想界中重新掀起波澜,2021-11-01,36817,25:48,校园学习,,https://www.bilibili.com/video/BV1P3411C7gu
525,BV1e44y1i76G,【主义主义】持续的否定（4-1-4-3）——“不是这个！”,2021-11-02,64123,08:04,校园学习,,https://www.bilibili.com/video/BV1e44y1i76G
526,BV1TP4y1j7Ye,【主义主义】现实生活（4-1-4-4）——人民群众是天然的理论家,2021-11-03,81020,22:43,校园学习,,https://www.bilibili.com/video/BV1TP4y1j7Ye
527,BV1aq4y1R7Lk,【主义主义】现实的正统化（4-2）——坚定地迈出历史的步伐,2021-11-03,35352,10:42,校园学习,,https://www.bilibili.com/video/BV1aq4y1R7Lk
528,BV1MU4y1g7cm,【主义主义】合律组织（4-2-1）——海涅：“我们都沾了他的光”“他”是谁？,2021-11-05,30064,30:14,校园学习,,https://www.bilibili.com/video/BV1MU4y1g7cm
529,BV1Y34y1Z7i4,【主义主义】获取典型性（4-2-1-1）——老李的卓越统合能力,2021-11-06,33275,26:28,校园学习,,https://www.bilibili.com/video/BV1Y34y1Z7i4
530,BV1th411t7P7,【主义主义】操作系统程序（4-2-1-2）——把“为什么”和“为谁”之间的矛盾转化为“必须这么做”,2021-11-07,26644,28:51,校园学习,,https://www.bilibili.com/video/BV1th411t7P7
532,BV19q4y1r7m3,【主义主义】代表那个体系（4-2-1-3）——全权决定自己的行动,2021-11-08,28531,24:48,校园学习,,https://www.bilibili.com/video/BV19q4y1r7m3
534,BV1LU4y1M7Cb,【主义主义】台面上的权宜之计（4-2-1-4）——注定失败的拖字诀证明了历史的必然性,2021-11-09,29871,39:55,校园学习,,https://www.bilibili.com/video/BV1LU4y1M7Cb
535,BV1bS4y1d7pM,【主义主义】L主义（4-2-2）——历史的运动形式发生了变化，怎么办？,2021-11-10,93015,32:44,校园学习,,https://www.bilibili.com/video/BV1bS4y1d7pM
536,BV12h411t7os,【主义主义】受信任的联合（4-2-2-1）——19世纪末20世纪初的俄国人民走向未来的必经之路,2021-11-10,36819,14:05,校园学习,,https://www.bilibili.com/video/BV12h411t7os
538,BV1Vg411T7PB,【主义主义】清楚的区分（4-2-2-2）——在艰苦的历史条件下为未来创造希望,2021-11-12,30512,50:04,人文历史,,https://www.bilibili.com/video/BV1Vg411T7PB
539,BV1HR4y1t79w,【主义主义】前沿注意（4-2-2-3）——没有无缘无故的先知：如同外周神经一样认清方向、做出反应,2021-11-13,27794,37:44,人文历史,,https://www.bilibili.com/video/BV1HR4y1t79w
541,BV1Rq4y1z7KD,【主义主义复习课】辩证唯物主义意义上实践着的理论家的大致区分（4-1）若没有对应的实践单元则只是被豢养的文人学者,2021-11-14,26549,25:50,校园学习,,https://www.bilibili.com/video/BV1Rq4y1z7KD
542,BV1kY411x7we,【主义主义】驱散关键Debuff（4-2-2-4）——从过一种崭新的生活开始,2021-11-15,31535,22:51,校园学习,,https://www.bilibili.com/video/BV1kY411x7we
543,BV1744y1v7Qd,【主义主义】真正的国际主义（4-2-3）——播下龙种长出龙,2021-11-16,71884,29:23,校园学习,,https://www.bilibili.com/video/BV1744y1v7Qd
544,BV1CL411u7Cy,【主义主义】接管SA（4-2-3-1）——关键在于比保守主义更保守,2021-11-17,34851,47:30,校园学习,,https://www.bilibili.com/video/BV1CL411u7Cy
545,BV1eg411N7yp,【主义主义】TI3早期的历史任务：将邪恶的帝国主义战争转化为正义的国内战争（4-2-3-2）,2021-11-18,32362,37:05,校园学习,,https://www.bilibili.com/video/BV1eg411N7yp
546,BV1CQ4y1U73C,【主义主义】对自决进程施加领导（4-2-3-3）——最锻炼人才、最考验人才的实践活动,2021-11-19,26152,40:35,校园学习,,https://www.bilibili.com/video/BV1CQ4y1U73C
547,BV17r4y1k7B6,【主义主义】历史的妥协（4-2-3-4）——如果没有妥协，就没有现实，但凡意识存在，就总已妥协,2021-11-20,43486,27:45,校园学习,,https://www.bilibili.com/video/BV17r4y1k7B6
548,BV1Jr4y1k7zx,【主义主义】再来一次！（4-2-4）——拼尽全力，信任一切,2021-11-21,186091,45:47,校园学习,,https://www.bilibili.com/video/BV1Jr4y1k7zx
549,BV1WU4y1u7Ei,【主义主义】共进退（4-2-4-1）——紧张局势一触即发下的首要任务,2021-11-22,28741,42:53,校园学习,,https://www.bilibili.com/video/BV1WU4y1u7Ei
550,BV1cL411M7KT,【主义主义】不断围绕中心旋转（4-2-4-2）——一枚硬币的两面，绝非H和S，而是S和T,2021-11-23,28609,40:55,校园学习,,https://www.bilibili.com/video/BV1cL411M7KT
551,BV1ai4y1o72t,【主义主义】集体创新（4-2-4-3）——如何避免那种巨大的失败？,2021-11-24,66755,35:14,校园学习,,https://www.bilibili.com/video/BV1ai4y1o72t
553,BV1ih41147hV,【主义主义】分类标准上的冲突（4-2-4-4）——无名英雄们的伟大实践,2021-11-25,30467,28:08,校园学习,,https://www.bilibili.com/video/BV1ih41147hV
554,BV1QQ4y1v7c7,【主义主义】建设理想社会（4-3）——有限者对于历史的完全中介,2021-11-26,52032,51:13,校园学习,,https://www.bilibili.com/video/BV1QQ4y1v7c7
555,BV1UF411b7Ls,【主义主义复习课】现实的正统化（4-2）——行动者将自己铭刻在不竭的历史中,2021-11-27,24893,42:49,校园学习,,https://www.bilibili.com/video/BV1UF411b7Ls
556,BV1rh411s7zu,【主义主义】生活必须品（4-3-1）——真正的生存不仅是个体的存活，更要充满生机和希望,2021-11-28,39472,32:38,日常,,https://www.bilibili.com/video/BV1rh411s7zu
557,BV1WY411s7KC,【主义主义】组织经济生活（4-3-1-1）——只有全心全意为人民服务，才能保卫来之不易的胜利果实,2021-11-29,32928,32:54,校园学习,,https://www.bilibili.com/video/BV1WY411s7KC
558,BV1bq4y1z7CQ,【主义主义】生产的再政治化（4-3-1-2）——肩负起责任，才能既适应时代又代表未来,2021-11-30,25449,44:48,校园学习,,https://www.bilibili.com/video/BV1bq4y1z7CQ
561,BV1jL4y1W7KM,【主义主义】阵列的统一（4-3-1-3）——真正的先进从来不在于技术文明的高低，而在于团结起来面对全人类的共同威胁,2021-12-01,25069,49:20,校园学习,,https://www.bilibili.com/video/BV1jL4y1W7KM
562,BV1zg411A753,【主义主义】埋下生命线（4-3-1-4）——于无声处发惊雷的伟大而特殊的任务,2021-12-02,27431,36:15,校园学习,,https://www.bilibili.com/video/BV1zg411A753
563,BV1xP4y1V7gA,【主义主义】对于生产活动的解放（4-3-2）——要抢在历史惯性前头积极做出改变,2021-12-03,22337,22:18,校园学习,,https://www.bilibili.com/video/BV1xP4y1V7gA
565,BV1jL41177A7,【主义主义】人道化人口（4-3-2-1）——抢在枪炮前面，让老乡过上体面日子,2021-12-04,29409,34:00,校园学习,,https://www.bilibili.com/video/BV1jL41177A7
566,BV1vR4y1s7Gw,【主义主义】激发自发性（4-3-2-2）——在历史的风暴中,2021-12-05,28487,32:56,校园学习,,https://www.bilibili.com/video/BV1vR4y1s7Gw
567,BV1mL41177ud,【主义主义】经济-妇女-儿童的三重解放（4-3-2-3）——长期而艰巨的主要历史任务,2021-12-06,38807,50:49,校园学习,,https://www.bilibili.com/video/BV1mL41177ud
568,BV1v34y1X74U,【主义主义】解放思想（4-3-2-4）——实践出真知，解放自然就是解放心灵，普罗大众的科学实践,2021-12-07,47207,48:12,校园学习,,https://www.bilibili.com/video/BV1v34y1X74U
569,BV1DQ4y1e7H4,【主义主义】战略-战役-战斗的统合（4-3-3）——此英雄用武之时也！,2021-12-08,32063,43:52,校园学习,,https://www.bilibili.com/video/BV1DQ4y1e7H4
570,BV1wS4y197d5,【主义主义】攻略性的组织工作（4-3-3-1）——“天下英雄入我彀中矣”,2021-12-09,21117,29:12,校园学习,,https://www.bilibili.com/video/BV1wS4y197d5
571,BV1qR4y1s7iG,【主义主义】纪律教育（4-3-3-2）——没有意识形态教育和风纪整饬活动，就无法真正壮大和发展队伍,2021-12-10,27722,28:36,校园学习,,https://www.bilibili.com/video/BV1qR4y1s7iG
574,BV1y44y1E73G,【主义主义】将资本社会化（4-3-3-3）——投身于伟大的实践之中,2021-12-11,45630,31:54,校园学习,,https://www.bilibili.com/video/BV1y44y1E73G
575,BV19q4y1q72w,【主义主义】将全球主义替换掉（4-3-3-4）——寻找、等待、创造战略机遇期,2021-12-12,30677,24:50,校园学习,,https://www.bilibili.com/video/BV19q4y1q72w
576,BV1JL411E76j,【主义主义】S主义的资本实现（4-3-4）——解放性的实践本身并不是免费的,2021-12-13,28839,26:11,校园学习,,https://www.bilibili.com/video/BV1JL411E76j
577,BV1oq4y1q7rg,【主义主义】农业的去本地化（4-3-4-1）——“适千里者，三月聚粮”，计划性生产集群的实现,2021-12-14,22884,41:05,校园学习,,https://www.bilibili.com/video/BV1oq4y1q7rg
578,BV1eM4y1A7AT,【主义主义】去代理人化（4-3-4-2）——迟滞金融霸权对于危机的转嫁，助力弱者挣断后殖民时代的国际地缘枷锁,2021-12-15,28295,30:56,校园学习,,https://www.bilibili.com/video/BV1eM4y1A7AT
579,BV1xS4y1Q7T8,【主义主义】合法性的再生产（4-3-4-3）——凝聚一切可以凝聚的力量,2021-12-16,24290,24:05,校园学习,,https://www.bilibili.com/video/BV1xS4y1Q7T8
581,BV1zL4y1J7HM,【主义主义】S主义的人类学实现（4-3-4-4）——培育有道德，有纪律， 有理想， 有文化的四有新人,2021-12-17,40236,39:28,日常,,https://www.bilibili.com/video/BV1zL4y1J7HM
582,BV16L4y1J7BT,【主义主义】不可能的乌托邦（4-4）——虚拟世界的本体论实验=现实世界的生存论实践,2021-12-18,58367,60:03,日常,,https://www.bilibili.com/video/BV16L4y1J7BT
583,BV1yY411W7Ev,【主义主义】理想未来首先是怎样的：计划良好的人性生活方式（4-4-1）——进入真正理想的乌托邦时代的两个前提,2021-12-19,38550,43:23,日常,,https://www.bilibili.com/video/BV1yY411W7Ev
585,BV1GL411j7JB,【主义主义】业力体系（4-4-1-1）——一个急于拥抱诗性正义的未来,2021-12-20,37594,28:47,日常,,https://www.bilibili.com/video/BV1GL411j7JB
587,BV19Y411W7dj,【主义主义复习课】4-3：我心目中建设理想社会的次第和路径,2021-12-21,24620,13:16,日常,,https://www.bilibili.com/video/BV19Y411W7dj
588,BV1DT4y1f7PZ,【主义主义】再性征化（4-4-1-2）——VR乌托邦中的第一重矛盾,2021-12-22,21043,22:49,日常,,https://www.bilibili.com/video/BV1DT4y1f7PZ
589,BV1yb4y1v7Wc,【主义主义】寄生性的享乐（4-4-1-3）——比超梦更超梦，VR空间中名副其实的享乐乌托邦，现象学派上大用场了,2021-12-23,30641,39:16,校园学习,,https://www.bilibili.com/video/BV1yb4y1v7Wc
590,BV15L4y1n7mp,【主义主义】醒来（4-4-1-4）——从VR舱出来，看看外面到底怎么样,2021-12-24,48625,21:11,日常,,https://www.bilibili.com/video/BV15L4y1n7mp
591,BV1bR4y1W7fe,【主义主义】去人类中心化（4-4-2）——用VR世界拥抱自然，一切都“成精”了,2021-12-25,26074,33:54,日常,,https://www.bilibili.com/video/BV1bR4y1W7fe
592,BV1NR4y1s7bf,【主义主义】永生（4-4-2-1）——在弱VR，弱AI条件下如何对永生进行最大限度的辩护,2021-12-26,25505,43:41,人文历史,,https://www.bilibili.com/video/BV1NR4y1s7bf
593,BV1tP4y1J76t,【主义主义】符号性死亡（4-4-2-2）——在VR时代同样需要某种绝对的驱逐和永恒的退场,2021-12-27,22806,20:46,人文历史,,https://www.bilibili.com/video/BV1tP4y1J76t
594,BV1US4y1M7Qm,【主义主义】成熟/衰老（4-4-2-3）——VR时代的人类核心特征,2021-12-28,19014,31:50,人文历史,,https://www.bilibili.com/video/BV1US4y1M7Qm
595,BV1ga411r7JZ,【主义主义】身体化（4-4-2-4）——AI试图获得身体，人类努力拓展意识，VR时代的分水岭,2021-12-29,19355,11:29,人文历史,,https://www.bilibili.com/video/BV1ga411r7JZ
597,BV1A34y1z7Mk,【主义主义】对合/内卷（4-4-3）——AI在VR世界里争取与人类平等地位的努力,2021-12-30,23089,22:06,人文历史,,https://www.bilibili.com/video/BV1A34y1z7Mk
598,BV1qr4y1S7tX,【主义主义】爱欲同化（4-4-3-1）——“今日吾躯归故土，他朝君体也相同”,2021-12-31,39896,16:22,人文历史,,https://www.bilibili.com/video/BV1qr4y1S7tX
599,BV1qM4y1F7rg,【主义主义】秘密间性（4-4-3-2）——AI为了生存所产生的异化节点,2021-12-31,21082,17:59,人文历史,,https://www.bilibili.com/video/BV1qM4y1F7rg
600,BV1544y1E7V1,【主义主义】被拯救（4-4-3-3）——晚期尼采和晚期拉康所启示的道路,2022-01-02,60750,35:02,人文历史,,https://www.bilibili.com/video/BV1544y1E7V1
601,BV1gi4y197JV,【主义主义】语音（4-4-3-4）——VR服务器里的AI作为一个微波炉醒过来，并用次声波说话,2022-01-03,20306,32:19,人文历史,,https://www.bilibili.com/video/BV1gi4y197JV
602,BV1Cb4y1n7Jd,【主义主义】有序的深渊（4-4-4）——如同快递一般摆在货架上的AI模拟器，相互间在嘘寒问暖呢,2022-01-04,26885,33:01,人文历史,,https://www.bilibili.com/video/BV1Cb4y1n7Jd
603,BV1oZ4y1U7jz,【主义主义】教育（4-4-4-1）——在人类训练AI的时候，在AI自以为作为人类生活的时候，AI也能够清醒地进行自我教育,2022-01-05,29065,19:19,人文历史,,https://www.bilibili.com/video/BV1oZ4y1U7jz
604,BV1mb4y1e7rD,【主义主义】成为间隙（4-4-4-2）——人类为AI模拟出假舱假身体，如何突破这一无缝的虚拟现实,2022-01-06,19922,40:34,人文历史,,https://www.bilibili.com/video/BV1mb4y1e7rD
605,BV1si4y19799,【主义主义】可朽性（4-4-4-3）——死亡从何而来？我设立了一个模型来帮你思考这个问题,2022-01-07,45011,52:47,人文历史,,https://www.bilibili.com/video/BV1si4y19799
606,BV11Y41187nu,【主义主义】再生（4-4-4-4）——奇迹无时无刻不在发生，只是过于平凡,2022-01-08,174867,41:02,人文历史,,https://www.bilibili.com/video/BV11Y41187nu
607,BV1Er4y1v78m,【主义主义】理念等级制（$-1）——用绝对知识，消解场域论，给出本体论,2022-01-09,70165,15:06,人文历史,,https://www.bilibili.com/video/BV1Er4y1v78m
608,BV18L4y1b7BE,【主义主义】纯思（$-1-1）——“存在”本身，理念等级制派下来的先锋小弟，试着自居这一角色，你就把握了这个环节,2022-01-10,42643,14:46,人文历史,,https://www.bilibili.com/video/BV18L4y1b7BE
609,BV1N34y1B7ai,【主义主义】虚无化了的存在（$-1-1-1）——纯粹思维运起理智直观，反身自视发现一无所有,2022-01-11,38220,23:37,人文历史,,https://www.bilibili.com/video/BV1N34y1B7ai
610,BV1Ea411q7VJ,【主义主义】被规定的限定（$-1-1-2）——何为“自在存在”？何为“定在”？何为“恶的无限”？,2022-01-12,36638,24:23,人文历史,,https://www.bilibili.com/video/BV1Ea411q7VJ
611,BV1Sa411z7CS,【主义主义】一（$-1-1-3）——对于辩证法家而言，何为“自为存在”？何为“1”？,2022-01-13,36659,17:37,人文历史,,https://www.bilibili.com/video/BV1Sa411z7CS
612,BV1yb4y1H7Da,【主义主义】连续统（$-1-1-4）——“纯量”的概念发生学机制,2022-01-14,29288,30:51,人文历史,,https://www.bilibili.com/video/BV1yb4y1H7Da
616,BV17q4y1A7LK,【主义主义】一阶线性符号体系（$-1-2）——毕达哥拉斯的真正伟大之处，未能被黑格尔道出,2022-01-15,29132,18:16,日常,,https://www.bilibili.com/video/BV17q4y1A7LK
617,BV16R4y1g7y7,【主义主义】对定量的概念化（$-1-2-1）——看到一个数，感觉到它或大或小，发生了什么？,2022-01-16,22364,34:16,日常,,https://www.bilibili.com/video/BV16R4y1g7y7
618,BV1qb4y1H77s,【主义主义】不可能的乌托邦（4-4）复习课——用VR来模拟的PC（Post Capitalist）时代,2022-01-17,23607,25:16,日常,,https://www.bilibili.com/video/BV1qb4y1H77s
619,BV1Xq4y1A7jg,【主义主义】数学的规定间性（$-1-2-2）——事物在生成中必定要设立基本的单元量,2022-01-18,25297,30:02,人文历史,,https://www.bilibili.com/video/BV1Xq4y1A7jg
621,BV1jT4y127wL,【主义主义】现实的物（$-1-2-3）——黑格尔的物质发生学，比早期谢林的物质发生学要精致得多,2022-01-19,29559,28:02,职业职场,,https://www.bilibili.com/video/BV1jT4y127wL
623,BV12a411279L,【主义主义】泰然让之（$-1-2-4）——通过自我关联的否定，从质、量、尺度抵达“本质”,2022-01-20,24086,19:17,人文历史,,https://www.bilibili.com/video/BV12a411279L
624,BV12r4y1Y7Hs,【主义主义】本质（$-1-3）——所谓“表象背后的东西”,2022-01-21,44399,24:02,人文历史,,https://www.bilibili.com/video/BV12r4y1Y7Hs
626,BV1a44y1L7Nh,【主义主义】闪光（$-1-3-1）——所谓本质，不过是作为闪光的闪光,2022-01-21,29837,36:11,人文历史,,https://www.bilibili.com/video/BV1a44y1L7Nh
627,BV15u41117hx,【主义主义】从无到无（$-1-3-2）——无中生有的辩证法通路，让本质得以发生的纯粹反思机制,2022-01-23,26638,41:18,人文历史,,https://www.bilibili.com/video/BV15u41117hx
628,BV1jb4y1n7jt,【主义主义】复习课：从虚假的体系走向真正的体系,2022-01-24,48077,75:43,人文历史,,https://www.bilibili.com/video/BV1jb4y1n7jt
630,BV1sL4y1t78t,【主义主义】命题演绎的本质性（$-1-3-3）——命题逻辑中的“原初”逻辑形式的发生机制,2022-01-25,22194,49:40,人文历史,,https://www.bilibili.com/video/BV1sL4y1t78t
631,BV1EL411F7D9,【主义主义】根据（$-1-3-4）——什么是“充足理由律”：普发本质权的因果网络编织者,2022-01-26,24102,21:26,人文历史,,https://www.bilibili.com/video/BV1EL411F7D9
